,answer_idx,qid,show_name,ts,vid_name,QUESTION ENGLISH,ANSWER ENGLISH,QUESTION HINDI,ANSWER HINDI,QUESTION CODEMIX,ANSWER CODEMIX,Transcript
178,4,3228,Friends,4.58-20.75,friends_s06e22_seg02_clip_13,Why is Monica looking for Chandler after the museum called?,Chandler freaked out when he heard the wedding could be moved up.,मोनिका चंदलर को क्यों ढूंढ रही थी जब म्यूजियम ने कॉल किया?,फोबे आमतौर पर गिटार या कप पकड़े हुए होती है जब रॉस लॉटरी जीतने के बारे में बात करता है।,Monica Chandler को क्यों ढूंढ रही थी जब museum ने call किया?,Phoebe usually guitar या cup पकड़े होती है जब Ross lottery जीतने के बारे में बात करता है।,"-Phoebe? -Yeah?  Monica : -Have you seen Chandler? -No, why?  Monica : The museum called and said that there was a cancellation...  Monica : and that we could move up our wedding. And Chandler heard.  Monica : I know. How bad is this? Well, with a regular guy, it's bad. With Chandler, oh, dear God!  Monica : I know! And he totally freaked out. I can't find him anywhere!  Phoebe : -What are you gonna do? -I'm never going to listen to you again. ""What harm can it do if you put your name down?""  Phoebe : -Rachel said that. -Well, Rachel's not here! You really think she put your picture up already? Did she put my picture up? You kidding, after the date we had? I wouldn't be surprised if she put 10 of my pictures up there. Except for the fact that I only gave her one. I don't know where she'd get the other nine.  Phoebe : Here it is!  Phoebe : Joey, why did you sign it ""son of a bitch""?"
2125,4,56996,House M.D.,75.92-97.37,house_s02e24_seg02_clip_05,How does House react after Jack tells him that Jack's wife killed herself?,He says nothing.,हाउस ने कैसे प्रतिक्रिया दी जब जैक ने उसे बताया कि जैक की पत्नी ने आत्महत्या कर ली थी?,,"Jack ने House को क्या बताया कि उसकी पत्नी ने आत्महत्या की, उस पर House ने क्या प्रतिक्रिया दी?",," Jack : You wanna hear a story?  House : I have a rule.  House : People who shoot me forfeit the right...  Jack : My wife was sick.  Jack : None of the doctors could figure out why.  House : Oh, I know this story.  House : She died.  House : So you selected one of her doctors to kill,  House : because that would make everything right again.  Jack : No, she lived. You cured her.  House : I'm truly sorry I did that.  Jack : In the course of investigating her illness,  Jack : you convinced me that everything was relevant.  Jack : You needed the truth.  Jack : I confessed to you that I'd had an affair. But it turns out that it had nothing to do with why she was sick.  Jack : Genetic predisposition to brain aneurysms.  Jack : You told her that.  Jack : You also told her about my affair. And you caught crap, she left you, and now I've got to pay  House : because you couldn't keep your little killer in your pants.  Jack : She killed herself."
440,3,44958,How I Met You Mother,36.01-45.16,met_s06e10_seg02_clip_05,Who was greased up with butter before the party ended?,Lily,पार्टी खत्म होने से पहले कौन मक्खन में लिपटा हुआ था?,पार्टी खत्म होने से पहले बार्नी मक्खन में लिपटा हुआ था।,पार्टी खत्म होने से पहले बार्नी मक्खन में लिपटा हुआ था।,पार्टी खत्म होने से पहले बार्नी butter में लिपटा हुआ था।," Ted : Okay, I'm...  Ted : just gonna preheat the oven.  Ted : The oven.  Barney : You should dance on the oven.  Everyone, chanting : Make out with Zoey!  Everyone, chanting : Make out with Zoey!  Steve : Did they tell you about the skateboarding dog?  Steve : It was awesome!  Ted : Great. So not only did you guys betray me,  Ted : but you broke my oven on Thanksgiving?  Barney : Full disclosure. We also used all your butter,  Barney : greasing up Lily so we could see how far we could slide her down the hall.  Lily : But if it helps, I reached 4G.  Ted : It doesn't help. 4G?  Ted : What are we supposed to do now?  Steve : This is awesome!  Steve : I'm part of this!"
1684,3,118660,The Big Bang Theory,12.28-22.32,s04e13_seg01_clip_01,Where did Amy want to take Penny when she was at lunch?,to the spa at a resort,ऐमी पेनी को लंच के दौरान कहाँ ले जाना चाहती थी?,एमी संभवतः पेनी को विज्ञान संग्रहालय या किसी ऐसे स्थान पर ले जाने का सुझाव देती है जो उसके हितों के अनुसार बौद्धिक रूप से उत्तेजक हो।,Amy Penny को lunch के समय कहाँ ले जाना चाहती थी?,Amy संभवतः Penny को science museum या किसी ऐसे place पर ले जाने का suggestion देती है जो उसके interests के अनुसार intellectually stimulating हो।," Penny : I'm your best friend?  Amy : Don't you read my blog?  Penny : Oh, don't feel bad.  Penny : I never read Leonard's, and I used to sleep with him.  Amy : Do you know anybody else who would appreciate  Amy : an all-expense-paid spa weekend  Amy : at a four-star resort in Big Sur?  Penny : No, I really-- I'm sorry, free what? Sorry, what, what?  Leonard : I think her weekend just opened up.  Penny : Wait, wait, just to be clear, when you guys say ""spa,""  Penny : does that mean the same thing as when regular people say it?  Leonard : Pretty much.  Leonard : Except we keep our shirts on in the sauna.  Penny : You know, it is going to be difficult,  Penny : but I'm going to cancel my plans so I can do this for my bestie.  Amy : Please don't touch my breasts.  Penny : I... I wasn't going to.  Amy : All right. I just want to establish boundaries.  Penny : Boy, this is great. I haven't had a vacation in ages.  Sheldon : In order to take a vacation, one first has to work.  Penny : You know, for a smart guy,  Penny : you really seem to have a hard time grasping the concept ""don't piss off the people who handle the things you eat.""  Amy : That does seem to be a valid principle.  Sheldon : I trust Penny will adhere to the ""Official California Restaurant Workers'  Sheldon : Solemn Oath of Ethics and Cleanliness.""  Amy : I don't believe there's any such thing.  Sheldon : You lied to me?"
93,1,16994,The Big Bang Theory,0-10.1,s08e13_seg02_clip_06,Who is wearing a lab coat when she is with Sheldon in the lab?,Amy is wearing a lab coat.,"जब वह शेल्डन के साथ लैब में थी, तो लैब कोट किसने पहन रखा था?","जब वह शेल्डन के साथ लैब में थी, तो एमी ने लैब कोट पहन रखा था।","जब वह Sheldon के साथ lab में थी, तो lab coat किसने पहन रखा था?","जब वह Sheldon के साथ lab में थी, तो Amy ने lab coat पहन रखा था।"," Sheldon : Oh, no, they went back down!  Raj : All right, guys, what game do you want to play?  Howard : Let's see.  Howard : How about ""Emily or Cinnamon?""  Raj : You know what? I think it's a little weird  Raj : that you remember me saying all these things.  Raj : Maybe the truth is-- you're jealous of all my relationships.  Howard : Oh, maybe I am.  Howard : Who wouldn't want to be the girl,  Howard : or possibly dog, to hear the words :  ""You're so lucky.  Howard : You have the shiniest hair.""  Leonard : That is a tough one. Uh, I-I know he brushes both of them.  Sheldon : Gentlemen... Yeah.  Sheldon : I have figured out the perfect way for you to irritate me.  Sheldon : I'd like you to be my intellectual sparring partners.  Sheldon : From now on, when I make an assertion,  Sheldon : I need you to challenge it.  Leonard : So you just want us to disagree with whatever you say?  Sheldon : Yes."
1068,4,58555,Grey's Anatomy,0-12.63,grey_s03e11_seg02_clip_18,Who does George warn before going into a patient's room?,George warns his family before going into a patient's room.,जॉर्ज किसे चेतावनी देता है इससे पहले कि वह मरीज के कमरे में जाए?,जॉर्ज मरीज के कमरे में जाने से पहले अपने परिवार को चेतावनी देता है।,George किसे चेतावनी देता है इससे पहले कि वह patient के कमरे में जाए?,George patient के कमरे में जाने से पहले अपने परिवार को चेतावनी देता है।," George : Prepare yourself because this was a much more extensive surgery  George : than the heart valve. There's a tube in his throat helping him breathe. Half his stomach was cut out and part of his esophagus, so there's going to be a big scar. OK? Just be prepared.  Louise : Welcome back, sweetheart.  Ronny : Dad looks like something out of the butcher shop. It's a cool scar.  Meredith : You need to breathe.  George : - He's my dad. - I know.  George : He's my dad.  Callie : I know."
387,4,76851,Grey's Anatomy,40.05-44.01,grey_s01e02_seg02_clip_19,What does Izzie do after she presents her card to the woman?,Izzie points to her pager number on the card.,"जब इज़ी ने महिला को अपना कार्ड पेश किया, तो वह क्या करती है?",इज़्ज़ी कार्ड पर अपने पेजर नंबर की ओर इशारा करती है|,"जब Izzie ने महिला को अपना card पेश किया, तो वह कहती है कि वह हमेशा मदद के लिए उपलब्ध है?",Izzy card पर अपने pager number की ओर इशारा करती है।,"Damn it. OK. You're all sewn up.  Izzie : That's pretty good.  Izzie : I could've done a better job if I'd had more light.  Izzie : You might have a scar. It is good.  Izzie : You're going to need to come back in five days.  Izzie : I'm going to need to check the wound and remove the stitches.  Bailey : OK?  Izzie : Here's my pager number on this card. Right here, OK? We'll meet right back here, OK?  Izzie : You have to come back.  Izzie : But you can't tell anybody that I helped you  Izzie : outside of the hospital, or I might lose my job.  Izzie : Understand?  Girl : Yes. Come back and don't tell.  Meredith : Yes. OK, that's it. I'm done. You can go.  Izzie : I'll see you in five days.  Derek : See you. [Speaking Chinese]"
443,3,99028,Castle,7.57-14.24,castle_s03e18_seg02_clip_10,Who surprises Castle after they walk in?,Castle's mother,कैसल को कौन चौंकाता है जब वे अंदर आते हैं?,,Castle को कौन हैरान करता है जब वे अंदर आते हैं?,,"""Esplanie.""  Castle : - What? - Lanie and Esposito. Like ""FoxCan."" We can call them ""Esplanie.""  Castle : Which is perfect, because they're always explaining things.  Castle : - Mother. - Hi.  Beckett : Martha, what a surprise.  Castle : Yes, what an unexpected surprise. What are you doing here? Grieving.  Castle : You didn't even know the victim.  Martha : Darling, a loss for a show like this  Martha : is a loss for anyone who was ever part of its history. And I think I can be of help here.  Martha : I think I could be your inside source. I can get the scoop on what's really going on here.  Martha : And what better place to start than Lance Hastings.  Castle : You know him?  Martha : He was my love interest 30 years ago. On screen.  Martha : And off.  Martha : After my character married his character, Joseph Fox,  Martha : she was kidnapped, buried alive, trapped in a cave with bears,  Martha : kidnapped again, and held hostage in the sewers of Paris.  Beckett : How long were you on the show?  Martha : Three weeks. Gotta go. Excuse me.  Castle : My mother gives new meaning to the word ""transparent.""  Beckett : - Martha. - Lance.  Martha : Darling, I know...  Reese Harmon : There's her account. What are you looking for?  Beckett : An e-mail that Sarah sent before she died.  Castle : There it is.  Beckett : ""Meet me at the office ASAP.""  Beckett : So Sarah had Mandy meet her here that night.  Castle : You think she found out about the affair, planned to confront her?"
940,3,80823,The Big Bang Theory,3.97-14.34,s04e02_seg02_clip_15,Where does Sheldon go after he leaves the table?,Sheldon goes to talk to Mr. Wozniak.,टेबल छोड़ने के बाद शेल्डन कहाँ जाता है?,"टेबल छोड़ने के बाद, शेल्डन अक्सर अपने कमरे या किसी विशेष स्थान की ओर जाता है जहाँ वह कुछ काम कर सके।","जब शेल्डन चला जाता है, तो पेनी Olive Garden के बारे में क्यों बात करती है?","Table छोड़ने के बाद, Sheldon अक्सर अपने room या किसी खास जगह की तरफ जाता है जहाँ वह कुछ काम कर सके।"," Sheldon-bot : I must speak to him.  Leonard : Of course you must.  Penny : You know, there's an Olive Garden down the street.  Penny : You guys should try it sometime.  Sheldon-bot : Excuse me, Mr. Wozniak?  Steve Wozniak : Oh, hey.  Steve Wozniak : Nice virtual presence device.  Leonard : Thank you.  Sheldon-bot : I just want to say I'm a big fan. You're my 15th favorite technological visionary. Only 15th?  Sheldon-bot : It's still six spots above Steve Jobs.  Sheldon-bot : I care neither for turtlenecks  Sheldon-bot : nor showmanship.  Steve Wozniak : Yeah, I never got that turtleneck thing.  Sheldon-bot : One of my proudest possessions is a vintage 1977 Apple Two.  Sheldon-bot : Despite the file system limitations of Apple DOS 3.3,  Sheldon-bot : it was a pretty nifty little achievement.  Steve Wozniak : Thanks, we were shooting for ""nifty.""  Steve Wozniak : You know, if you had it here,  Steve Wozniak : I'd autograph it for you.  Sheldon-bot : Don't move for 15 to 30 minutes,  Sheldon-bot : depending on how the buses are running."
1936,4,88088,The Big Bang Theory,17.71-20.71,s08e12_seg02_clip_05,How many times does Leonard roll double sixes when they are waiting?,He rolls it twice.,"जब वे इंतज़ार कर रहे थे, तब लियोनार्ड ने कितनी बार डबल सिक्स रोल किए?","लियोनार्ड शायद डबल सिक्स को दो बार रोल कर सकता है, जो या तो सांख्यिकीय रूप से असंभव या एक संयोग है, स्थिति के आधार पर।","जब वे wait कर रहे थे, तब Leonard ने कितनी बार double six roll किए?","Leonard शायद double six को दो बार roll कर सकता है, जो या तो statistically improbable या एक coincidence है, situation के आधार पर।"," Sheldon : from Buckland.  Sheldon : And I roll...  Sheldon : a five and a three.  Bernadette : Okay.  Leonard : And to defend, I roll...  Leonard : two sixes. I win.  Sheldon : Boy, double-sixes again.  Leonard : You know... if I hadn't seen it  Sheldon : with my own eyes, I wouldn't believe it.  Sheldon : I wonder how long we're gonna be stuck here.  Leonard : I don't know, but the girls do a lot for us.  Leonard : It's the least we can do.  Sheldon : Oh, that's true. I suppose it's only fair  Sheldon : we make compromises.  Leonard : Look at you, being all mature.  Sheldon : I don't know why you're so surprised.  Sheldon : If there's one thing I know about after living with you  Sheldon : for so many years, it's how to compromise. I-I'm sorry?  Leonard : You make compromises for me?  Sheldon : All the time.  Leonard : On Earth?"
2220,4,907,House M.D.,53.25-79.19,house_s08e05_seg02_clip_20,How many people are standing in House's office after Adams said the patient was shedding skin like a snake?,4 people,हाउस के ऑफिस में कितने लोग खड़े थे जब एडम्स ने कहा कि मरीज अपनी त्वचा सापेक्ष रूप से उड़ा रहा था जैसे एक सांप?,,"Adams ने कहा था कि मरीज जैसे सांप की तरह त्वचा उछाल रहा था, तो House के ऑफिस में कितने लोग खड़े थे?",,"How else do I compare him to other genetic disorders?  Taub : What's up?  Foreman : Chase basically called me a sellout.  Taub : Just because you hung up your lab coat  Taub : for more money and a bigger office?  Foreman : I hung it up because someone had to run this place after Cuddy left.  Taub : There are a lot of good administrators out there,  Taub : not many good doctors.  Foreman : More to it than you think.  Foreman : For example, you're looking at monkey DNA.  Foreman : My analysis,  Foreman : House took your results after he manipulated you into providing them.  Adams : He's shedding his skin like a snake.  Taub : If it was an allergic reaction,  Chase : the corticosteroids and epinephrine  Taub : would have made him better, not worse.  Park : Is everyone trying to think of an answer?  Park : Or is everyone afraid to say what they think the answer is?  House : I take it you're in the latter category.  Park : Stevens-Johnson Syndrome.  Park : It fits all of his symptoms and explains  Park : why he got worse after the steroids.  Park : Most medication exacerbates the condition.  Chase : There's no treatment for it."
332,2,89091,Grey's Anatomy,71.3-99.03,grey_s03e19_seg02_clip_22,Who plays with the dollhouse when the flashback scenes are played?,the patient,"जब फ्लैशबैक दृश्य चल रहे होते हैं, तो कौन डॉलहाउस से खेल रहा होता है?","जब फ्लैशबैक सीन चल रहे होते हैं, मरीज गुड़िया के घर से खेलती है|","जब flashback scene चल रहे होते हैं, तो एक बच्चा डॉलहाउस से खेल रहा होता है?","जब flashback scenes चल रहे होते हैं, patient गुड़िया के house से खेलती है।"," Burke : - How's it looking? - Still see bleeding. The platinum microcoils... They aren't holding. What about using a gelatin sponge?  Burke : I've already tried polyvinyl alcohol, glue, microcoils... nothing's working.  Izzie : B.P.'S dropping to 62 systolic.  Burke : - We're gonna have to open her up. - If you open her up, she's dead.  Burke : If we don't, she's dead.  Cristina : Beginning amputation.  Bailey : Fine amputation, Yang.  Mark : Beautiful."
1435,0,57726,Grey's Anatomy,88.37-92.05,grey_s02e24_seg02_clip_17,Why Derek left to Meredith after they broke?,Because Derek chose Addison.,डेरेक ने मेरेडिथ को छोड़कर क्यों चला गया जब उनका ब्रेकअप हुआ?,क्योंकि डेरेक ने एडिसन को चुना।,Derek ने Meredith को छोड़कर क्यों चला गया जब उनका breakup हुआ?,क्योंकि Derek ने Addison को चुना।," Noah : Seeing as she just, uh... performed surgery on me and all.  Finn : Yeah.  Derek : - You paged me. - CT results.  Derek : Good, thank you. All right, let's see what we've got here.  Derek : Marshall, everything checks out fine.  Derek : Your short-term memory loss was a result of the concussion.  Derek : But to be safe, I want to keep you here overnight for observation, all right?  Marshall : I have to apologize.  Derek : What?  Marshall : To the woman's family.  Marshall : I have to tell them I'm sorry for what I did.  Derek : You should get some rest.  Meredith : I never should have told you about George.  Derek : No, it's fine, I'm glad I know. About him.  Derek : And the vet. You really get around.  Meredith : - What did you just say to me? - It's unforgivable.  Meredith : I don't remember ever asking you to forgive me.  Derek : So was the knitting a phase? Who's next? Alex?  Derek : Because I hear he likes to sleep around.  Derek : You two have that in common.  Meredith : You don't get to call me a whore.  Meredith : When I met you, I thought I had found the person  Meredith : that I was going to spend the rest of my life with! I was done.  Meredith : So all the boys and all the bars and all the obvious daddy issues, who cared?  Meredith : Because I was done.  Meredith : You left me. You chose Addison."
